method,dataset,session,condition,alpha1_strength,events,K,M,T,empirical_nu_base,mean_events_per_actor_mark_per_sec,ring_size,hub_actor,true_ring,n_injected_events,hawkes_sampler_used,seed,field_auc,precision,recall,f1,hub_correct,pred_ring,hub_pred,loglik_final,beta0_hat,beta1_hat,beta_gap_hat,eta_on_hat,eta_off_hat,active_mean,gate_gini,gate_effective_support,g0_hat,h0_hat,sender0_score,receiver0_score,member0_score,g1_hat,h1_hat,sender1_score,receiver1_score,member1_score,g2_hat,h2_hat,sender2_score,receiver2_score,member2_score,g3_hat,h3_hat,sender3_score,receiver3_score,member3_score,g4_hat,h4_hat,sender4_score,receiver4_score,member4_score,g5_hat,h5_hat,sender5_score,receiver5_score,member5_score,g6_hat,h6_hat,sender6_score,receiver6_score,member6_score,g7_hat,h7_hat,sender7_score,receiver7_score,member7_score,g8_hat,h8_hat,sender8_score,receiver8_score,member8_score,g9_hat,h9_hat,sender9_score,receiver9_score,member9_score,g10_hat,h10_hat,sender10_score,receiver10_score,member10_score,g11_hat,h11_hat,sender11_score,receiver11_score,member11_score,g12_hat,h12_hat,sender12_score,receiver12_score,member12_score,g13_hat,h13_hat,sender13_score,receiver13_score,member13_score,g14_hat,h14_hat,sender14_score,receiver14_score,member14_score,g15_hat,h15_hat,sender15_score,receiver15_score,member15_score,g16_hat,h16_hat,sender16_score,receiver16_score,member16_score,g17_hat,h17_hat,sender17_score,receiver17_score,member17_score,g18_hat,h18_hat,sender18_score,receiver18_score,member18_score,g19_hat,h19_hat,sender19_score,receiver19_score,member19_score,true_hub,b2_active_fraction,b2_n_pair_fits,b2_n_windows,b2_hmm_rates,b2_top10_member,b2_top10_member_scores,b2_top10_sender,b2_top10_sender_scores,b2_top10_receiver,b2_top10_receiver_scores,b2_sender0_score,b2_receiver0_score,b2_member0_score,b2_sender1_score,b2_receiver1_score,b2_member1_score,b2_sender2_score,b2_receiver2_score,b2_member2_score,b2_sender3_score,b2_receiver3_score,b2_member3_score,b2_sender4_score,b2_receiver4_score,b2_member4_score,b2_sender5_score,b2_receiver5_score,b2_member5_score,b2_sender6_score,b2_receiver6_score,b2_member6_score,b2_sender7_score,b2_receiver7_score,b2_member7_score,b2_sender8_score,b2_receiver8_score,b2_member8_score,b2_sender9_score,b2_receiver9_score,b2_member9_score,b2_sender10_score,b2_receiver10_score,b2_member10_score,b2_sender11_score,b2_receiver11_score,b2_member11_score,b2_sender12_score,b2_receiver12_score,b2_member12_score,b2_sender13_score,b2_receiver13_score,b2_member13_score,b2_sender14_score,b2_receiver14_score,b2_member14_score,b2_sender15_score,b2_receiver15_score,b2_member15_score,b2_sender16_score,b2_receiver16_score,b2_member16_score,b2_sender17_score,b2_receiver17_score,b2_member17_score,b2_sender18_score,b2_receiver18_score,b2_member18_score,b2_sender19_score,b2_receiver19_score,b2_member19_score
Proposed,hc-11,Achilles_10252013,spikein,1.0,5139,20,1,35.9518,7.147069131448218,7.147069131448218,4,0,"[0, 2, 9, 14]",139,False,9,0.7,0.75,0.75,0.75,1,"[6, 0, 2, 14]",0.0,7550.714127206126,14.135724122514745,19.99616,5.860435877485257,0.0037970784443252,4.188550554056404,0.79659734552139,0.0824940474603181,19.5862435834945,0.2673315352969557,0.1636080936041652,0.5132466719181585,0.2931022171090959,1.0,0.1812896553782474,0.1541192315229017,0.3492475986264873,0.2852936540131008,0.8555962698641385,0.1737945009355124,0.1794972359275214,0.3317601226633865,0.3332031311891847,0.9992768929217972,0.1552166989203137,0.1500609400001409,0.2994558327479645,0.2804887317815127,0.841186297961485,0.1667820672871384,0.1267742684985921,0.3244600442692593,0.2359472763214542,0.7076063791309188,0.1365696538082167,0.1637443996594454,0.262184421095267,0.3081937814860501,0.9242738004353896,0.1617176204325238,0.1788148910214826,0.3087775112599424,0.3334442470844375,1.0,0.1369387171661381,0.133918127977642,0.2657231259852629,0.2520329395123921,0.7558473169536204,0.1619952699926083,0.1238145030426623,0.3154808253410757,0.2308549172972192,0.6923343836811202,0.1542237140819861,0.1659470398346199,0.2958437711674892,0.3103325442267144,0.9306879544037524,0.1348966793351115,0.1619185214308154,0.2591452175270493,0.3049400265512403,0.9145157825260694,0.1219212814507795,0.1536772061251198,0.2349216701506344,0.2907865967119292,0.8720696165985848,0.1286596663827933,0.1550423623854487,0.2477759178650964,0.2926429417461914,0.877636799270032,0.1330145291845738,0.1524453732728468,0.2564077387401611,0.287302805427602,0.861621719192081,0.1573579152014106,0.1684017285768786,0.3015900154161866,0.3145270339108846,0.9432672378097364,0.1006324638860988,0.1214341190620442,0.1961471728691054,0.231571773686029,0.6944842375024948,0.1095367512530184,0.1346872377875383,0.2124963364645717,0.2560201050091285,0.7678048346843932,0.0835223540438797,0.100377312854033,0.1640140173635415,0.1926113321938508,0.5776417913279404,0.0864953778618961,0.1156801615226615,0.1689351937419882,0.2217449320025571,0.6650135185760307,0.1000073098717174,0.129463359442887,0.1943744196456718,0.2469466375977252,0.7405934867881869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_static_gates,hc-11,Achilles_10252013,spikein,1.0,5139,20,1,35.9518,7.147069131448218,7.147069131448218,4,0,"[0, 2, 9, 14]",139,False,9,,0.25,0.25,0.25,1,"[13, 14, 15, 16]",,5997.194274384259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_modular_hmm_hawkes,hc-11,Achilles_10252013,spikein,1.0,5139,20,1,35.9518,7.147069131448218,7.147069131448218,4,0,"[0, 2, 9, 14]",139,False,9,0.7125,0.0,0.0,0.0,0,"[6, 11, 12, 13]",18.0,,,,,,,0.4085225904673089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4085225904673089,190.0,4.0,"[246.25093037277023, 342.19057969997374]","[6, 13, 12, 11, 17, 18, 15, 5, 4, 2]","[0.1650000335963207, 0.03314441680873047, 0.018823600094904146, 0.01788936491489408, 0.017730317582539977, 0.0168066416109708, 0.013464675726221545, 0.012951173315100976, 0.009944580135528503, 0.009258892308917674]","[18, 17, 11, 5, 3, 8, 4, 6, 2, 10]","[3415.2294677316545, 2871.299150414408, 1351.1284715487977, 691.8439121271375, 494.6012344488232, 330.7197702651755, 327.05757335225127, 324.1501092798921, 323.59059880138096, 185.71845990164496]","[13, 12, 6, 15, 4, 10, 2, 5, 11, 9]","[5945.2889539850485, 2291.263292413765, 1705.3548046060976, 524.5994836901011, 6.139620811479145, 5.590296194565639, 5.379166983214861, 4.922695388646723, 4.809346374990109, 4.061456253764262]",3.295338303973942,3.410232422086709,0.0007439531118123463,3.9211034877282507,2.387259395754856,0.0006789808566534611,323.59059880138096,5.379166983214861,0.009258892308917674,494.6012344488232,2.096650629922415,0.007146513268209182,327.05757335225127,6.139620811479145,0.009944580135528503,691.8439121271375,4.922695388646723,0.012951173315100976,324.1501092798921,1705.3548046060976,0.1650000335963207,162.904383978559,0.9131570348945046,0.002706716014522313,330.7197702651755,0.8471941702993226,0.0037147118400288207,3.56997172303577,4.061456253764262,0.0008450391888214797,185.71845990164496,5.590296194565639,0.007150699343743002,1351.1284715487977,4.809346374990109,0.01788936491489408,3.13995362705607,2291.263292413765,0.018823600094904146,3.7518084108122047,5945.2889539850485,0.03314441680873047,4.309780976530148,3.194975618310555,0.0008235025455703313,7.017085926075551,524.5994836901011,0.013464675726221545,5.051069042878142,1.1247656591253203,0.0005289641613101448,2871.299150414408,2.2230408491846427,0.017730317582539977,3415.2294677316545,1.679325356182429,0.0168066416109708,4.5428026939652915,1.5563282043454605,0.0005900870764550983
B3_static_svd,hc-11,Achilles_10252013,spikein,1.0,5139,20,1,35.9518,7.147069131448218,7.147069131448218,4,0,"[0, 2, 9, 14]",139,False,9,,0.25,0.25,0.25,1,"[0, 1, 4, 8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposed,hc-11,Achilles_10252013,spikein,1.0,5175,20,1,35.9518,7.197136165644001,7.197136165644001,4,0,"[0, 7, 9, 14]",175,False,8,0.6753246753246753,0.5,0.5,0.5,1,"[0, 2, 6, 14]",0.0,7429.099459852077,14.134763534991963,19.99616,5.861396465008035,0.9484703120012402,3.34497850086184,0.8803827897434934,0.08951894879366,19.50758784932884,0.3096423851193356,0.1881064549838812,0.6582319108644653,0.3699143225407709,1.0,0.2038435638543151,0.1760027552357472,0.4350402467674391,0.3590086319229974,0.8822747079146864,0.1812414335507573,0.1979646184857683,0.3840342108618232,0.4069125281529804,1.0,0.1769970064508172,0.1718303219869435,0.3782481281554582,0.3537065715347791,0.8692447321302472,0.1893561753125706,0.1419184648448328,0.4085899915720528,0.2909161905018426,0.7149354477296198,0.1497849794075298,0.1826294683711813,0.3189710103164751,0.3793843472870262,0.9323486524464912,0.1774591362064525,0.197683344443956,0.3760567889641401,0.406862928183306,0.9998781065554811,0.1637067647997178,0.1627553376943361,0.3508843514197299,0.3365318420958881,0.8270373085425563,0.1832290414294647,0.1370936777544361,0.3959850460220607,0.2816125122761783,0.6920713735564932,0.1735295441340821,0.1880990228272637,0.3688767744282706,0.3876571267912437,0.9526792614394574,0.1481483485144432,0.1788776336073439,0.3158747854347655,0.3717947016098617,0.9136968657550992,0.1311105548182364,0.1648826144436661,0.2808169539039261,0.3446460063490966,0.8469781156984324,0.1390465106208198,0.1690709432198749,0.2974145059206219,0.3524791865265944,0.8662283958828577,0.1470945410855811,0.1704014477901007,0.3144876890354012,0.3542935841970945,0.8706873337256809,0.175936238306661,0.1929074079293055,0.3734174190139817,0.3972396833916169,0.9762286877593336,0.1061004726765757,0.1310284196602223,0.2297413955399788,0.2761660935692893,0.6786866327828165,0.1152128435755852,0.1457405306419515,0.2482992000057808,0.3062487600012377,0.752615706848186,0.0846208774888197,0.1059385826059059,0.1847104150484284,0.2248520924043476,0.5525809033822955,0.0879337572258902,0.119828013791388,0.1910865988548649,0.2540561589098842,0.6243507912205907,0.1027375843564982,0.132171147518869,0.2223796209253501,0.2788637748089787,0.6853162670482801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_static_gates,hc-11,Achilles_10252013,spikein,1.0,5175,20,1,35.9518,7.197136165644001,7.197136165644001,4,0,"[0, 7, 9, 14]",175,False,8,,0.25,0.25,0.25,1,"[13, 14, 15, 16]",,6085.299870149855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_modular_hmm_hawkes,hc-11,Achilles_10252013,spikein,1.0,5175,20,1,35.9518,7.197136165644001,7.197136165644001,4,0,"[0, 7, 9, 14]",175,False,8,0.8311688311688312,0.0,0.0,0.0,0,"[3, 13, 15, 16]",19.0,,,,,,,0.5158942463688548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.5158942463688548,190.0,4.0,"[237.20618034707564, 334.5871153952432]","[13, 3, 16, 15, 10, 11, 19, 18, 12, 4]","[0.41202343920687157, 0.11371525635747058, 0.052213032011705726, 0.04972582558154967, 0.04459295593351713, 0.03806670364434124, 0.026936478135257493, 0.020512282063415935, 0.019324755342941768, 0.016137054577517167]","[19, 18, 11, 3, 13, 10, 8, 4, 15, 16]","[971.0285955107056, 372.1864991547146, 355.2190373159071, 250.296685275978, 164.84503280531464, 125.81629078776356, 94.2271241145125, 30.977852138403474, 8.212928440066092, 5.539322734096575]","[13, 16, 15, 12, 3, 10, 4, 2, 6, 5]","[1215.751450682165, 581.0024635863513, 355.4207522806362, 127.49696528216698, 60.99007778851768, 18.658316735480106, 9.923709650980022, 5.6545760229747035, 5.307396778113362, 5.131653610657338]",3.2854723090733646,4.0002898380400636,0.0033366159927934423,4.064501872098428,2.5391488006300276,0.0029567140986833684,2.1475913596114773,5.6545760229747035,0.00320728416212008,250.296685275978,60.99007778851768,0.11371525635747058,30.977852138403474,9.923709650980022,0.016137054577517167,3.3030424175794906,5.131653610657338,0.0037891983042593553,3.13499667401899,5.307396778113362,0.003754230316788769,3.215908484625749,1.1132946910517318,0.001741480042618541,94.2271241145125,1.105464071613922,0.009393379668175713,3.8405245515069524,4.849973679143009,0.003972158372454669,125.81629078776356,18.658316735480106,0.04459295593351713,355.2190373159071,4.815829748360205,0.03806670364434124,3.4578406611710397,127.49696528216698,0.019324755342941768,164.84503280531464,1215.751450682165,0.41202343920687157,4.060542099907006,4.117787014206198,0.0037634447154852872,8.212928440066092,355.4207522806362,0.04972582558154967,5.539322734096575,581.0024635863513,0.052213032011705726,3.168342268446673,1.932284637107881,0.002277262990362306,372.1864991547146,1.334578611325727,0.020512282063415935,971.0285955107056,0.8821174659802122,0.026936478135257493
B3_static_svd,hc-11,Achilles_10252013,spikein,1.0,5175,20,1,35.9518,7.197136165644001,7.197136165644001,4,0,"[0, 7, 9, 14]",175,False,8,,0.25,0.25,0.25,1,"[0, 1, 4, 8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposed,hc-11,Achilles_10252013,spikein,1.0,5191,20,1,35.9518,7.2193881808421265,7.2193881808421265,4,2,"[2, 7, 9, 14]",191,False,7,0.6558441558441559,0.5,0.5,0.5,0,"[0, 2, 9, 6]",0.0,7441.879747301149,14.134772441548751,19.99616,5.861387558451247,3.0552578724963,1.0630047680741412,0.7740580146945757,0.1007958674454183,19.393999968971475,0.3237921146251933,0.1975365352913042,0.7556379454853032,0.4289998089476483,1.0,0.2211015785982101,0.184209402398582,0.5180502336249799,0.4131678041042624,0.7962402072263579,0.2278006245335146,0.2318268561131597,0.5262309133737247,0.5188984434025268,1.0,0.1821898338632635,0.1748337994055345,0.4280698155594253,0.3968630497092765,0.7648183469330946,0.2055236081048413,0.1508458892633332,0.4863013867273733,0.3399639866099689,0.6551647840389598,0.1612770810623216,0.1932989264039964,0.3768527709151864,0.4415664730471417,0.8509689683239307,0.199757586977072,0.2188025168777701,0.4632393367762218,0.493998986188299,0.9520147775912436,0.1819429963309102,0.180454985579817,0.4267538396340735,0.4096494278338914,0.7894597354112947,0.2004341884074421,0.1496075440671863,0.4744075460548847,0.3377133956753227,0.6508275366194292,0.2026329862077359,0.2221104299603625,0.4694384576017207,0.5010249795035658,0.9655549864791252,0.1652426078798345,0.1977116870625653,0.3856265635540859,0.451098511243059,0.869338725098327,0.1425694329829865,0.1827722004452498,0.3341797499624903,0.419895560239685,0.8092056655370578,0.1559000706205839,0.1882809155319851,0.3648413680473107,0.4308105316728218,0.830240555064891,0.1569993277736753,0.1820758455724489,0.3680827149421312,0.4164767916587638,0.8026171536145636,0.1969766629317178,0.2178185323541425,0.4569243566965155,0.4922092552773645,0.9485656808870816,0.1130048505981071,0.14091552657802,0.2681749020293484,0.3266378669970895,0.6294832276914457,0.1259265823307852,0.1579765462328903,0.2973374647978859,0.3647428866740322,0.7029176736055248,0.0910013405801466,0.1166969163252196,0.2174774788555445,0.2722677335438379,0.524703315274027,0.0926206308398812,0.1249866042365601,0.2208101223350282,0.291464401514476,0.5616983539269887,0.1103029414246317,0.1517023269092704,0.2609190849307077,0.3519061580609093,0.6781792517113489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1_static_gates,hc-11,Achilles_10252013,spikein,1.0,5191,20,1,35.9518,7.2193881808421265,7.2193881808421265,4,2,"[2, 7, 9, 14]",191,False,7,,0.25,0.25,0.25,0,"[13, 14, 15, 16]",,6067.437489714871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_modular_hmm_hawkes,hc-11,Achilles_10252013,spikein,1.0,5191,20,1,35.9518,7.2193881808421265,7.2193881808421265,4,2,"[2, 7, 9, 14]",191,False,7,0.6493506493506493,0.0,0.0,0.0,0,"[5, 13, 15, 17]",17.0,,,,,,,0.3334182616906361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.3334182616906361,190.0,4.0,"[250.248197634809, 364.474501573318]","[13, 17, 5, 15, 4, 10, 14, 9, 2, 19]","[0.034452454589375306, 0.01634651217506465, 0.011979500767599321, 0.011693812241987322, 0.011588951720116786, 0.010248525593643117, 0.009190794970906534, 0.008968467752898253, 0.007947580646321105, 0.007724597618837968]","[17, 5, 19, 3, 4, 10, 8, 1, 14, 9]","[2919.3815057016864, 594.920886791938, 577.8779404160348, 451.53353864072864, 424.2812698656652, 386.8846692460322, 317.63685736756935, 304.4750700863627, 290.85960194724714, 271.9522482350355]","[13, 15, 12, 4, 2, 9, 14, 10, 11, 5]","[6499.74073552063, 319.0197786379967, 81.16895910241706, 6.006497950933364, 5.622590942072562, 5.6121689217014, 5.510736387324542, 5.151434064766728, 4.610021143948705, 4.577255011549877]",3.354301808000292,2.58217154424106,0.0006756163803518573,304.4750700863627,2.074288445015452,0.005769218673552908,213.16715279798123,5.622590942072562,0.007947580646321105,451.53353864072864,1.1968199502026302,0.00533661624567622,424.2812698656652,6.006497950933364,0.011588951720116786,594.920886791938,4.577255011549877,0.011979500767599321,2.7137867141656757,4.3046344439697695,0.0007846257397993866,2.2809111277020735,2.26139332731284,0.0005213733063989673,317.63685736756935,2.261071399446505,0.006152181515552134,271.9522482350355,5.6121689217014,0.008968467752898253,386.8846692460322,5.151434064766728,0.010248525593643117,170.2238514511082,4.610021143948705,0.006430847662176756,3.364761150087827,81.16895910241706,0.0037938369827581887,3.465223016336561,6499.74073552063,0.034452454589375306,290.85960194724714,5.510736387324542,0.009190794970906534,8.133575636203958,319.0197786379967,0.011693812241987322,5.4875321828887245,1.055438960734002,0.0005524737627442283,2919.3815057016864,1.7367857142196494,0.01634651217506465,5.657948684056191,1.2005443462695033,0.0005983084858156662,577.8779404160348,1.9593070520784135,0.007724597618837968
B3_static_svd,hc-11,Achilles_10252013,spikein,1.0,5191,20,1,35.9518,7.2193881808421265,7.2193881808421265,4,2,"[2, 7, 9, 14]",191,False,7,,0.0,0.0,0.0,0,"[0, 1, 4, 8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
