,,,,,field_auc,field_auc,field_auc,precision,precision,precision,recall,recall,recall,f1,f1,f1,hub_correct,hub_correct,hub_correct,loglik_final,loglik_final,loglik_final,active_mean,active_mean,active_mean,beta0_hat,beta0_hat,beta0_hat,beta1_hat,beta1_hat,beta1_hat,beta_gap_hat,beta_gap_hat,beta_gap_hat,gate_gini,gate_gini,gate_gini,gate_effective_support,gate_effective_support,gate_effective_support,rho0_00,rho0_00,rho0_00,rho1_00,rho1_00,rho1_00,rho_lift_00,rho_lift_00,rho_lift_00,rho0_01,rho0_01,rho0_01,rho1_01,rho1_01,rho1_01,rho_lift_01,rho_lift_01,rho_lift_01,rho0_10,rho0_10,rho0_10,rho1_10,rho1_10,rho1_10,rho_lift_10,rho_lift_10,rho_lift_10,rho0_11,rho0_11,rho0_11,rho1_11,rho1_11,rho1_11,rho_lift_11,rho_lift_11,rho_lift_11,rho0_stress_same,rho0_stress_same,rho0_stress_same,rho1_stress_same,rho1_stress_same,rho1_stress_same,rho_lift_stress_same,rho_lift_stress_same,rho_lift_stress_same,rho0_same_mark_mass,rho0_same_mark_mass,rho0_same_mark_mass,rho1_same_mark_mass,rho1_same_mark_mass,rho1_same_mark_mass,rho_lift_same_mark_mass,rho_lift_same_mark_mass,rho_lift_same_mark_mass
,,,,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
dataset,session,condition,alpha1_strength,method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1.5_seed_10,crypto_spikein_compact,1.5,Proposed,0.5748148148148148,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,41.966439550179416,,1,0.1777357846865789,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.069751778827293,,1,19.635308571814306,,1,0.5427168136296834,,1,0.5310629668504685,,1,-0.011653846779214883,,1,0.45728318637031656,,1,0.46893703314953156,,1,0.011653846779214994,,1,0.3012212412360712,,1,0.3665041965616989,,1,0.06528295532562772,,1,0.6987787587639288,,1,0.6334958034383011,,1,-0.06528295532562767,,1,0.6987787587639288,,1,0.6334958034383011,,1,-0.06528295532562767,,1,1.241495572393612,,1,1.1645587702887696,,1,-0.07693680210484244,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1.5_seed_11,crypto_spikein_compact,1.5,Proposed,0.6162962962962963,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,68.42921230098648,,1,0.2619987969400597,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.0669289662229291,,1,19.687122502331768,,1,0.5875363527959967,,1,0.5444236563615796,,1,-0.043112696434417064,,1,0.4124636472040033,,1,0.4555763436384203,,1,0.04311269643441701,,1,0.3024716457843414,,1,0.35919535345247133,,1,0.05672370766812995,,1,0.6975283542156586,,1,0.6408046465475287,,1,-0.05672370766812995,,1,0.6975283542156586,,1,0.6408046465475287,,1,-0.05672370766812995,,1,1.2850647070116552,,1,1.1852283029091084,,1,-0.0998364041025468,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1.5_seed_7,crypto_spikein_compact,1.5,Proposed,0.6956521739130435,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,-87.51289023865806,,1,0.17834919425976387,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.0607171911840414,,1,19.709659830569986,,1,0.5631042292058865,,1,0.5360226149484126,,1,-0.027081614257473907,,1,0.43689577079411346,,1,0.46397738505158737,,1,0.027081614257473907,,1,0.35078875133816867,,1,0.3834702737388386,,1,0.032681522400669905,,1,0.6492112486618313,,1,0.6165297262611615,,1,-0.032681522400669794,,1,0.6492112486618313,,1,0.6165297262611615,,1,-0.032681522400669794,,1,1.2123154778677179,,1,1.1525523412095742,,1,-0.0597631366581437,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1.5_seed_8,crypto_spikein_compact,1.5,Proposed,0.6863354037267081,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,55.780977394550746,,1,0.13632396701003127,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07289221088877884,,1,19.59930583403589,,1,0.558865308796337,,1,0.5337592801024302,,1,-0.025106028693906768,,1,0.441134691203663,,1,0.46624071989756977,,1,0.025106028693906768,,1,0.31132670052678835,,1,0.3760603890780094,,1,0.06473368855122108,,1,0.6886732994732117,,1,0.6239396109219907,,1,-0.06473368855122097,,1,0.6886732994732117,,1,0.6239396109219907,,1,-0.06473368855122097,,1,1.2475386082695485,,1,1.1576988910244208,,1,-0.08983971724512774,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1.5_seed_9,crypto_spikein_compact,1.5,Proposed,0.6562962962962963,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,-91.53182585941288,,1,0.18851289459466844,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07744101203109177,,1,19.55923104799847,,1,0.555341876750304,,1,0.5258513639482212,,1,-0.029490512802082813,,1,0.44465812324969595,,1,0.47414863605177887,,1,0.029490512802082924,,1,0.3333098856741308,,1,0.380732295689034,,1,0.047422410014903216,,1,0.6666901143258692,,1,0.619267704310966,,1,-0.047422410014903216,,1,0.6666901143258692,,1,0.619267704310966,,1,-0.047422410014903216,,1,1.2220319910761732,,1,1.1451190682591872,,1,-0.07691292281698603,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1_seed_10,crypto_spikein_compact,1.0,Proposed,0.7220496894409938,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,-228.41862002232233,,1,0.19958134059854318,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.06274345365610245,,1,19.696498604628562,,1,0.5799526396210899,,1,0.5453883184012797,,1,-0.034564321219810235,,1,0.4200473603789101,,1,0.45461168159872034,,1,0.034564321219810235,,1,0.3833946945106996,,1,0.400247718191661,,1,0.01685302368096142,,1,0.6166053054893005,,1,0.5997522818083391,,1,-0.01685302368096142,,1,0.6166053054893005,,1,0.5997522818083391,,1,-0.01685302368096142,,1,1.1965579451103903,,1,1.1451406002096187,,1,-0.051417344900771544,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1_seed_11,crypto_spikein_compact,1.0,Proposed,0.7624223602484472,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,-234.30287529890592,,1,0.17269454350023578,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.06381471534635197,,1,19.658538699324623,,1,0.585144803500727,,1,0.5475763498780999,,1,-0.03756845362262706,,1,0.4148551964992731,,1,0.4524236501219001,,1,0.03756845362262701,,1,0.3777441137569554,,1,0.3947699732223138,,1,0.017025859465358395,,1,0.6222558862430447,,1,0.6052300267776862,,1,-0.017025859465358506,,1,0.6222558862430447,,1,0.6052300267776862,,1,-0.017025859465358506,,1,1.2074006897437717,,1,1.1528063766557861,,1,-0.05459431308798557,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1_seed_7,crypto_spikein_compact,1.0,Proposed,0.6739130434782609,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,-221.91007804092786,,1,0.17111607937265572,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.06371208912279402,,1,19.690067681695258,,1,0.6012647853820612,,1,0.5589118893994183,,1,-0.04235289598264291,,1,0.3987352146179389,,1,0.44108811060058173,,1,0.0423528959826428,,1,0.34633289041603366,,1,0.3826985900768793,,1,0.03636569966084563,,1,0.6536671095839663,,1,0.6173014099231207,,1,-0.036365699660845685,,1,0.6536671095839663,,1,0.6173014099231207,,1,-0.036365699660845685,,1,1.2549318949660275,,1,1.176213299322539,,1,-0.0787185956434886,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1_seed_8,crypto_spikein_compact,1.0,Proposed,0.7748447204968945,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,-259.809852395721,,1,0.1443618777202515,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07316550486467643,,1,19.593424364759805,,1,0.5726584551342178,,1,0.540062487859779,,1,-0.03259596727443881,,1,0.42734154486578235,,1,0.459937512140221,,1,0.03259596727443864,,1,0.37506354924405805,,1,0.40007901666530427,,1,0.025015467421246218,,1,0.6249364507559421,,1,0.5999209833346957,,1,-0.025015467421246385,,1,0.6249364507559421,,1,0.5999209833346957,,1,-0.025015467421246385,,1,1.1975949058901598,,1,1.1399834711944745,,1,-0.057611434695685304,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_1_seed_9,crypto_spikein_compact,1.0,Proposed,0.5644444444444444,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,-88.01473748810685,,1,0.21054164177504456,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.06594729821064971,,1,19.66366594219373,,1,0.5756238366164121,,1,0.5386419358131892,,1,-0.036981900803222945,,1,0.42437616338358786,,1,0.46135806418681086,,1,0.036981900803223,,1,0.34990403030623946,,1,0.3830099908388055,,1,0.03310596053256604,,1,0.6500959696937605,,1,0.6169900091611945,,1,-0.03310596053256598,,1,0.6500959696937605,,1,0.6169900091611945,,1,-0.03310596053256598,,1,1.2257198063101726,,1,1.1556319449743837,,1,-0.07008786133578893,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_2_seed_10,crypto_spikein_compact,2.0,Proposed,0.6977777777777778,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,275.1886968516338,,1,0.17837039853294206,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07173287126291727,,1,19.612420314073166,,1,0.5637971107041467,,1,0.53235617645622,,1,-0.03144093424792671,,1,0.4362028892958532,,1,0.46764382354378,,1,0.031440934247926766,,1,0.2659011597672533,,1,0.3580180766907226,,1,0.0921169169234693,,1,0.7340988402327467,,1,0.6419819233092774,,1,-0.09211691692346935,,1,0.7340988402327467,,1,0.6419819233092774,,1,-0.09211691692346935,,1,1.2978959509368935,,1,1.1743380997654973,,1,-0.12355785117139617,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_2_seed_11,crypto_spikein_compact,2.0,Proposed,0.6381987577639752,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,372.1476725644782,,1,0.19066932089220054,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.06987136241545855,,1,19.636097963625858,,1,0.5744944839061756,,1,0.5388530665711526,,1,-0.03564141733502302,,1,0.4255055160938244,,1,0.46114693342884744,,1,0.03564141733502302,,1,0.24629208053988022,,1,0.34617240600051535,,1,0.09988032546063513,,1,0.7537079194601198,,1,0.6538275939994846,,1,-0.09988032546063519,,1,0.7537079194601198,,1,0.6538275939994846,,1,-0.09988032546063519,,1,1.3282024033662956,,1,1.1926806605706373,,1,-0.13552174279565832,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_2_seed_7,crypto_spikein_compact,2.0,Proposed,0.6940993788819876,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,226.26895201082507,,1,0.13365935373000598,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.06557989561469313,,1,19.695652676930603,,1,0.5647320404436207,,1,0.5419099725000427,,1,-0.022822067943577995,,1,0.4352679595563793,,1,0.4580900274999573,,1,0.022822067943577995,,1,0.2491012917266675,,1,0.3536697501913699,,1,0.10456845846470242,,1,0.7508987082733325,,1,0.6463302498086301,,1,-0.10456845846470242,,1,0.7508987082733325,,1,0.6463302498086301,,1,-0.10456845846470242,,1,1.3156307487169532,,1,1.1882402223086728,,1,-0.1273905264082804,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_2_seed_8,crypto_spikein_compact,2.0,Proposed,0.7639751552795031,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,490.11946051595805,,1,0.18918008690739788,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07078415556330664,,1,19.642060482129093,,1,0.5779818880765882,,1,0.5408347014037118,,1,-0.03714718667287642,,1,0.4220181119234118,,1,0.4591652985962883,,1,0.037147186672876475,,1,0.2159388719930781,,1,0.3431117810758448,,1,0.12717290908276668,,1,0.7840611280069218,,1,0.6568882189241553,,1,-0.12717290908276657,,1,0.7840611280069218,,1,0.6568882189241553,,1,-0.12717290908276657,,1,1.36204301608351,,1,1.197722920327867,,1,-0.164320095755643,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_2_seed_9,crypto_spikein_compact,2.0,Proposed,0.7481481481481481,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,263.54423739265457,,1,0.10718612969889939,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07175087674193703,,1,19.629056885763735,,1,0.5728119634964837,,1,0.5368459553385436,,1,-0.035966008157940044,,1,0.42718803650351633,,1,0.4631540446614564,,1,0.035966008157940044,,1,0.2724518595456729,,1,0.35419552608817173,,1,0.08174366654249882,,1,0.7275481404543271,,1,0.6458044739118283,,1,-0.08174366654249887,,1,0.7275481404543271,,1,0.6458044739118283,,1,-0.08174366654249887,,1,1.3003601039508108,,1,1.182650429250372,,1,-0.11770967470043892,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_3_seed_10,crypto_spikein_compact,3.0,Proposed,0.6909937888198758,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,1056.0267471915015,,1,0.16184884220175327,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.08440076055762025,,1,19.484240580999856,,1,0.582118272901434,,1,0.5315006128657348,,1,-0.05061766003569923,,1,0.41788172709856597,,1,0.4684993871342653,,1,0.05061766003569934,,1,0.13262793623538244,,1,0.31238755708770494,,1,0.1797596208523225,,1,0.8673720637646175,,1,0.6876124429122952,,1,-0.17975962085232233,,1,0.8673720637646175,,1,0.6876124429122952,,1,-0.17975962085232233,,1,1.4494903366660514,,1,1.2191130557780299,,1,-0.23037728088802156,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_3_seed_11,crypto_spikein_compact,3.0,Proposed,0.5140740740740741,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,1257.0694487584838,,1,0.10388917608130363,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07317042916621852,,1,19.628435598441758,,1,0.5736332768538932,,1,0.5272484592595458,,1,-0.04638481759434743,,1,0.4263667231461068,,1,0.4727515407404543,,1,0.04638481759434748,,1,0.09814318176837065,,1,0.3186893040472727,,1,0.22054612227890202,,1,0.9018568182316293,,1,0.6813106959527273,,1,-0.22054612227890202,,1,0.9018568182316293,,1,0.6813106959527273,,1,-0.22054612227890202,,1,1.4754900950855225,,1,1.208559155212273,,1,-0.26693093987324956,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_3_seed_7,crypto_spikein_compact,3.0,Proposed,0.7779503105590062,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,865.2235956233216,,1,0.18830053123987042,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07158863527511117,,1,19.619323150228958,,1,0.5384138249205662,,1,0.5243619528345651,,1,-0.014051872086001116,,1,0.46158617507943384,,1,0.4756380471654349,,1,0.01405187208600106,,1,0.17041119351778894,,1,0.3321936412270887,,1,0.16178244770929978,,1,0.8295888064822111,,1,0.6678063587729113,,1,-0.16178244770929984,,1,0.8295888064822111,,1,0.6678063587729113,,1,-0.16178244770929984,,1,1.3680026314027773,,1,1.1921683116074764,,1,-0.17583431979530095,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_3_seed_8,crypto_spikein_compact,3.0,Proposed,0.7348148148148148,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,877.2412756933935,,1,0.1431658673114576,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07986059152732006,,1,19.54075630916083,,1,0.562460777032518,,1,0.5286154610727511,,1,-0.03384531595976681,,1,0.43753922296748204,,1,0.4713845389272489,,1,0.033845315959766864,,1,0.14295045436819417,,1,0.33154655807852584,,1,0.18859610371033167,,1,0.8570495456318058,,1,0.6684534419214742,,1,-0.18859610371033164,,1,0.8570495456318058,,1,0.6684534419214742,,1,-0.18859610371033164,,1,1.4195103226643238,,1,1.1970689029942254,,1,-0.22244141967009834,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_3_seed_9,crypto_spikein_compact,3.0,Proposed,0.6088888888888889,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,1050.0827069098173,,1,0.16373458392169526,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07316043187652688,,1,19.592959840020335,,1,0.5490572997734486,,1,0.5174790226080126,,1,-0.03157827716543604,,1,0.45094270022655136,,1,0.4825209773919874,,1,0.03157827716543604,,1,0.13373987883542782,,1,0.3314261358186449,,1,0.19768625698321707,,1,0.8662601211645722,,1,0.6685738641813551,,1,-0.19768625698321707,,1,0.8662601211645722,,1,0.6685738641813551,,1,-0.19768625698321707,,1,1.4153174209380208,,1,1.1860528867893678,,1,-0.229264534148653,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_4_seed_10,crypto_spikein_compact,4.0,Proposed,0.717037037037037,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,2137.491959061485,,1,0.1278601210930118,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07197393120943674,,1,19.59476356305416,,1,0.5962447335365209,,1,0.5332453238075685,,1,-0.06299940972895235,,1,0.40375526646347915,,1,0.4667546761924315,,1,0.06299940972895235,,1,0.03748218106655003,,1,0.2908998868093327,,1,0.25341770574278266,,1,0.96251781893345,,1,0.7091001131906673,,1,-0.25341770574278266,,1,0.96251781893345,,1,0.7091001131906673,,1,-0.25341770574278266,,1,1.5587625524699709,,1,1.2423454369982359,,1,-0.316417115471735,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_4_seed_11,crypto_spikein_compact,4.0,Proposed,0.6518518518518519,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,2260.2379604100065,,1,0.16363594583042987,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07282524342339758,,1,19.61523741477379,,1,0.5609922267936525,,1,0.5110140188392247,,1,-0.049978207954427756,,1,0.4390077732063476,,1,0.4889859811607754,,1,0.04997820795442781,,1,0.03786424679545187,,1,0.2943428290636324,,1,0.25647858226818054,,1,0.962135753204548,,1,0.7056571709363676,,1,-0.25647858226818043,,1,0.962135753204548,,1,0.7056571709363676,,1,-0.25647858226818043,,1,1.5231279799982005,,1,1.2166711897755924,,1,-0.3064567902226081,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_4_seed_7,crypto_spikein_compact,4.0,Proposed,0.6164596273291926,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,2042.296465601114,,1,0.20198024992532837,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.07907385835272929,,1,19.5515811567511,,1,0.5863486286334638,,1,0.5337940625844251,,1,-0.05255456604903874,,1,0.4136513713665362,,1,0.4662059374155749,,1,0.05255456604903874,,1,0.03956468261464244,,1,0.29174746288244635,,1,0.25218278026780394,,1,0.9604353173853576,,1,0.7082525371175536,,1,-0.25218278026780394,,1,0.9604353173853576,,1,0.7082525371175536,,1,-0.25218278026780394,,1,1.5467839460188215,,1,1.2420465997019787,,1,-0.3047373463168428,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_4_seed_8,crypto_spikein_compact,4.0,Proposed,0.5139751552795031,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,1824.6176075041185,,1,0.15181141788344546,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.0732960899949302,,1,19.583405509705972,,1,0.5904541702158923,,1,0.538721080939109,,1,-0.05173308927678333,,1,0.40954582978410775,,1,0.46127891906089113,,1,0.051733089276783384,,1,0.044073360474778236,,1,0.29649669188272065,,1,0.25242333140794243,,1,0.9559266395252217,,1,0.7035033081172793,,1,-0.2524233314079424,,1,0.9559266395252217,,1,0.7035033081172793,,1,-0.2524233314079424,,1,1.546380809741114,,1,1.2422243890563882,,1,-0.3041564206847258,,1
binance_vision,ftx_k20_q99_minutes_spikein_compact_alpha_4_seed_9,crypto_spikein_compact,4.0,Proposed,0.5155555555555555,,1,0.25,,1,0.25,,1,0.25,,1,0.0,,1,2027.3957283838115,,1,0.1252950309672683,,1,0.35306770516832453,,1,0.49952,,1,0.1464522948316755,,1,0.08138140903192226,,1,19.52909010949333,,1,0.5715114505043404,,1,0.5358816930235388,,1,-0.03562975748080155,,1,0.4284885494956597,,1,0.4641183069764613,,1,0.035629757480801605,,1,0.03774960174963364,,1,0.29393470458654203,,1,0.2561851028369084,,1,0.9622503982503664,,1,0.706065295413458,,1,-0.25618510283690843,,1,0.9622503982503664,,1,0.706065295413458,,1,-0.25618510283690843,,1,1.5337618487547067,,1,1.2419469884369967,,1,-0.29181486031771,,1
