method,dataset,session,condition,alpha1_strength,events,K,M,T,empirical_nu_base,mean_events_per_actor_mark_per_sec,ring_size,hub_actor,true_hub,true_ring,n_injected_events,hawkes_sampler_used,seed,heldout_frac,heldout_split_t,train_events,test_events,heldout_loglik,heldout_nll_per_event,heldout_metric_type,field_auc,precision,recall,f1,hub_correct,loglik_final,beta0_hat,beta1_hat,beta_gap_hat,eta_on_hat,eta_off_hat,active_mean,gate_gini,gate_effective_support,g0_hat,h0_hat,sender0_score,receiver0_score,member0_score,g1_hat,h1_hat,sender1_score,receiver1_score,member1_score,g2_hat,h2_hat,sender2_score,receiver2_score,member2_score,g3_hat,h3_hat,sender3_score,receiver3_score,member3_score,g4_hat,h4_hat,sender4_score,receiver4_score,member4_score,g5_hat,h5_hat,sender5_score,receiver5_score,member5_score,g6_hat,h6_hat,sender6_score,receiver6_score,member6_score,g7_hat,h7_hat,sender7_score,receiver7_score,member7_score,g8_hat,h8_hat,sender8_score,receiver8_score,member8_score,g9_hat,h9_hat,sender9_score,receiver9_score,member9_score,g10_hat,h10_hat,sender10_score,receiver10_score,member10_score,g11_hat,h11_hat,sender11_score,receiver11_score,member11_score,g12_hat,h12_hat,sender12_score,receiver12_score,member12_score,g13_hat,h13_hat,sender13_score,receiver13_score,member13_score,g14_hat,h14_hat,sender14_score,receiver14_score,member14_score,g15_hat,h15_hat,sender15_score,receiver15_score,member15_score,g16_hat,h16_hat,sender16_score,receiver16_score,member16_score,g17_hat,h17_hat,sender17_score,receiver17_score,member17_score,g18_hat,h18_hat,sender18_score,receiver18_score,member18_score,g19_hat,h19_hat,sender19_score,receiver19_score,member19_score,b2_lambda0,b2_lambda1,b2_p00,b2_p11
Proposed,hc-11,Cicero_09012014_5k,real_5k,,5000,20,1,31.8122,7.858620277755074,7.858620277755074,4,0,0,"[0, 1, 2, 3]",0,False,9,0.2,25.44976,3651,1349,2613.698914345285,-1.9375084613382396,latent_ctmc_marginal_interval_loglik,,,,,,5720.295172633733,14.134382136314834,19.99616,5.861777863685166,0.35224523767526156,3.314163272485725,0.9252309405670771,0.14713252847168956,18.753276210501117,0.23861250401624812,0.18012410750981567,0.47154407086782113,0.3267302909288334,0.8903449313388341,0.2421598643875533,0.19627107601031635,0.47584389329417415,0.35553570930717465,0.898463631879199,0.27006716557556504,0.20200344179089375,0.5296195376310487,0.36201016804497727,1.0,0.23110690116240767,0.18431944258134217,0.4560389144131024,0.33529326532081144,0.8610689032601264,0.21754135777407502,0.19716216434127978,0.42733151730081115,0.3605109878250937,0.9022694237249744,0.17472698573833143,0.20365083872133002,0.3424426703384867,0.3784346474662731,0.9471278901840758,0.19425037634471318,0.2165980524464495,0.3789672582559167,0.399560240373371,1.0,0.1356182949335679,0.16974987234237737,0.268982470197562,0.3200505071515235,0.801006894110512,0.13319836691149178,0.15632271137888054,0.26542065115389035,0.29498070608437205,0.7382634113162158,0.12980969312297697,0.17307610129815712,0.25716347635713427,0.32702986602350104,0.8184744951547391,0.1086775726942503,0.14872006835801366,0.21713411493887733,0.28316099946953976,0.70868162258822,0.10661529717332131,0.1419384102069183,0.2135217852021126,0.2704393057989551,0.676842384382995,0.085270574406217,0.10412742370509674,0.17300212463137501,0.19993456918362915,0.5003865474622783,0.08376636802144467,0.112715428790751,0.16945591123679948,0.21656003180982827,0.5419959493653891,0.07772090833997623,0.10077531152829915,0.15786852988199784,0.19403677404746503,0.4856258317047422,0.0780381616035496,0.10596963625580874,0.1582311394449167,0.20400783727680682,0.5105809253847948,0.09919919483593419,0.129907894262365,0.199492090451949,0.24819400876345357,0.6211679333547488,0.08514625791143178,0.11343877743874148,0.17219929066406664,0.21783264577703929,0.5451809859096203,0.07727826172856014,0.09694088995705624,0.1571706993816852,0.18668812043871888,0.46723397769574687,0.08673911050494096,0.09734991614573561,0.17639304558391486,0.18683251013627528,0.4675953492311666,,,,
B1_static_gates,hc-11,Cicero_09012014_5k,real_5k,,5000,20,1,31.8122,7.858620277755074,7.858620277755074,4,0,0,"[0, 1, 2, 3]",0,False,9,0.2,25.44976,3651,1349,2426.809039134194,-1.7989688948363187,single_regime_static_marked_hawkes_loglik_from_static_gates,,,,,,5101.473063395373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_modular_hmm_hawkes,hc-11,Cicero_09012014_5k,real_5k,,5000,20,1,31.8122,7.858620277755074,7.858620277755074,4,0,0,"[0, 1, 2, 3]",0,False,9,0.2,25.44976,3651,1349,-279.9915938070058,0.2075549249866611,modular_hmm_interval_count_loglik_segmentation_stage,,,,,,,,,,,,0.6147707290680373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.33333333333334,378.75,0.6,0.3333333333333333
B3_static_svd,hc-11,Cicero_09012014_5k,real_5k,,5000,20,1,31.8122,7.858620277755074,7.858620277755074,4,0,0,"[0, 1, 2, 3]",0,False,9,0.2,25.44976,3651,1349,2282.756079000406,-1.6921838984435922,single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposed,hc-11,Cicero_09012014_5k,real_5k,,5000,20,1,31.8122,7.858620277755074,7.858620277755074,4,0,0,"[0, 1, 2, 3]",0,False,8,0.2,25.44976,3651,1349,2614.6902351074054,-1.938243317351672,latent_ctmc_marginal_interval_loglik,,,,,,5702.9384783335845,14.134127606982856,19.99616,5.862032393017143,0.4378514126784465,3.3316268293499403,0.9242589261791745,0.14688345585071438,18.758841935313608,0.23979922064838025,0.18190358263504497,0.4764776828745421,0.33195939266876723,0.8852629230559989,0.24470284165710326,0.198013609505207,0.4834878399784084,0.36067292954689784,0.8982873151564037,0.27299097824729673,0.20407399291995987,0.5382329593446689,0.36771793843368017,1.0,0.23152096276750853,0.18500275503533622,0.4595292909337827,0.33867672654275777,0.85377397083465,0.217469362931712,0.19771046127152422,0.429726680596425,0.3638624678438279,0.9010117000150795,0.1752994471541566,0.20408451917911144,0.34561636366619497,0.381566349863019,0.9448508047446835,0.19425089757932473,0.21752620621394603,0.3811760666621349,0.40383767251605973,1.0,0.1367850399588337,0.17267619419921024,0.2726691438620375,0.32745735653162683,0.8108638168684091,0.13456023453820354,0.15796098235825862,0.2696039487418013,0.2997917375398158,0.7423570358654287,0.13062321826723902,0.17247034857721805,0.2603974470660981,0.32780558397385484,0.8117261124538071,0.10926923218421819,0.15006597458793952,0.21952588598371528,0.28744044867478824,0.7117722496861839,0.10713231770850953,0.14144120844772648,0.21587299714019292,0.2711225758842912,0.6713652398873442,0.0862080910612466,0.10506751744448838,0.17588615596658871,0.20292774831407584,0.5024983108924932,0.08512296951552639,0.11443255918494066,0.17311656569010975,0.22109694978047,0.5474896594043674,0.07790911508488842,0.10076378822175572,0.15918822473730412,0.19519606600652442,0.48335279071509085,0.07853112774715905,0.10591110669060506,0.1601759069532047,0.20512627640250938,0.507942399540132,0.09962368424053362,0.1300426039064303,0.20153166919152332,0.24995740285110316,0.618955139310741,0.08540007379261254,0.1145842410876067,0.17367763066645622,0.22136820590152873,0.5481613553344887,0.07746888192936638,0.09514332381793043,0.15858682825507245,0.18433218369579962,0.4564511838317143,0.08793734151760631,0.09963521031506756,0.17974467824252305,0.19230795358138655,0.4762011240388646,,,,
B1_static_gates,hc-11,Cicero_09012014_5k,real_5k,,5000,20,1,31.8122,7.858620277755074,7.858620277755074,4,0,0,"[0, 1, 2, 3]",0,False,8,0.2,25.44976,3651,1349,2426.950483115732,-1.7990737458233743,single_regime_static_marked_hawkes_loglik_from_static_gates,,,,,,5102.017301849563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_modular_hmm_hawkes,hc-11,Cicero_09012014_5k,real_5k,,5000,20,1,31.8122,7.858620277755074,7.858620277755074,4,0,0,"[0, 1, 2, 3]",0,False,8,0.2,25.44976,3651,1349,-279.9915938070058,0.2075549249866611,modular_hmm_interval_count_loglik_segmentation_stage,,,,,,,,,,,,0.6147707290680373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.33333333333334,378.75,0.6,0.3333333333333333
B3_static_svd,hc-11,Cicero_09012014_5k,real_5k,,5000,20,1,31.8122,7.858620277755074,7.858620277755074,4,0,0,"[0, 1, 2, 3]",0,False,8,0.2,25.44976,3651,1349,2282.756079000406,-1.6921838984435922,single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proposed,hc-11,Cicero_09012014_5k,real_5k,,5000,20,1,31.8122,7.858620277755074,7.858620277755074,4,0,0,"[0, 1, 2, 3]",0,False,7,0.2,25.44976,3651,1349,2613.6343763529603,-1.9374606199799558,latent_ctmc_marginal_interval_loglik,,,,,,5714.769370561582,14.134546579079663,19.99616,5.861613420920337,0.3742244183256295,3.2800068911694664,0.9250382718568668,0.14690183846366422,18.75695965726325,0.23811337748751885,0.18049415787934434,0.47018968301102404,0.32721958690647773,0.884185701994591,0.24233250510662177,0.1965257065696255,0.47584807268715795,0.35570312480560806,0.8948262316121541,0.27122516898647775,0.20083008468110583,0.5317770712083969,0.3594709949509341,1.0,0.22992585593696627,0.18419933213251427,0.4534597753824973,0.3349819475353046,0.8527253240762462,0.216886949910895,0.19676686468038057,0.4258461978502355,0.35961094622765144,0.897602218520987,0.1743457357475499,0.2026515520136371,0.3415972454158708,0.37633243937414934,0.9393396836975292,0.19362345764464892,0.2172973444773561,0.3774050570320166,0.40063509069774356,1.0,0.13577820221540873,0.17064461557939736,0.2690398043774361,0.32145933406814187,0.8023743839020449,0.13313895293720077,0.1557600424252564,0.2651797612186696,0.2937151094690608,0.7331237734506192,0.12976006103384702,0.17217314329923372,0.256980084669314,0.32506169108336425,0.811366000210413,0.10842450818990375,0.14853505095276137,0.21651322864247846,0.2826254947573371,0.7054436850878897,0.10643318354589663,0.14168910472803348,0.2130334382295878,0.2697992984839697,0.673429024936605,0.08547311614878803,0.10433867336632849,0.17329923748761983,0.20019224606594738,0.4996872483568372,0.08391805729629295,0.1126844879236083,0.16965731227857644,0.21632848906518146,0.5399639075259861,0.07760943515485048,0.10114970390021348,0.15752168745630296,0.19462968573323036,0.4858028920888196,0.07802673018521439,0.10552218804274575,0.15814176298765514,0.20301348818788667,0.5067291730095825,0.09929380378369584,0.12996635935587428,0.19955326070174384,0.24811279220720006,0.6192987034038591,0.08522963141973766,0.11334490567597492,0.172272578691116,0.21749258285068457,0.5428695286573646,0.07706036488029423,0.0962777445388068,0.15666681778727812,0.1852880065352051,0.46248571539879013,0.08696143252314326,0.09854034882549122,0.1766570196036675,0.18896674771356656,0.4716679894026838,,,,
B1_static_gates,hc-11,Cicero_09012014_5k,real_5k,,5000,20,1,31.8122,7.858620277755074,7.858620277755074,4,0,0,"[0, 1, 2, 3]",0,False,7,0.2,25.44976,3651,1349,2427.1331823414403,-1.7992091789039586,single_regime_static_marked_hawkes_loglik_from_static_gates,,,,,,5103.060551677261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2_modular_hmm_hawkes,hc-11,Cicero_09012014_5k,real_5k,,5000,20,1,31.8122,7.858620277755074,7.858620277755074,4,0,0,"[0, 1, 2, 3]",0,False,7,0.2,25.44976,3651,1349,-279.9915938070058,0.2075549249866611,modular_hmm_interval_count_loglik_segmentation_stage,,,,,,,,,,,,0.6147707290680373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.33333333333334,378.75,0.6,0.3333333333333333
B3_static_svd,hc-11,Cicero_09012014_5k,real_5k,,5000,20,1,31.8122,7.858620277755074,7.858620277755074,4,0,0,"[0, 1, 2, 3]",0,False,7,0.2,25.44976,3651,1349,2282.756079000406,-1.6921838984435922,single_regime_full_matrix_marked_hawkes_loglik_before_svd_selection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
